round,player,invest.,quantity,quality,q-cybex,q-firm,av-quality,av-risk,cost-cybex,cost-proc
67,7,1.0,1.0,0.1,168.0,68.0,0.09999999999999981,10.0,1,6
68,8,1.0,1.0,0.1,169.0,69.0,0.09999999999999983,10.0,1,6
69,9,1.0,1.0,0.1,170.0,70.0,0.09999999999999984,10.0,1,6
70,0,1.0,1.0,0.1,171.0,71.0,0.09999999999999984,10.0,1,7
71,1,1.0,1.0,0.1,172.0,72.0,0.09999999999999985,10.0,1,7
72,2,1.0,1.0,0.1,173.0,73.0,0.09999999999999987,10.0,1,7
73,3,1.0,1.0,0.1,174.0,74.0,0.09999999999999987,10.0,1,7
74,4,1.0,1.0,0.1,175.0,75.0,0.09999999999999988,10.0,1,7
75,5,1.0,1.0,0.1,176.0,76.0,0.09999999999999988,10.0,1,7
76,6,1.0,1.0,0.1,177.0,77.0,0.0999999999999999,10.0,1,7
77,7,1.0,1.0,0.1,178.0,78.0,0.09999999999999991,10.0,1,7
78,8,1.0,1.0,0.1,179.0,79.0,0.09999999999999991,10.0,1,7
79,9,1.0,1.0,0.1,180.0,80.0,0.09999999999999992,10.0,1,7
80,0,1.0,1.0,0.1,181.0,81.0,0.09999999999999994,10.0,1,8
81,1,1.0,1.0,0.1,182.0,82.0,0.09999999999999994,10.0,1,8
82,2,1.0,1.0,0.1,183.0,83.0,0.09999999999999995,10.0,1,8
83,3,1.0,1.0,0.1,184.0,84.0,0.09999999999999995,10.0,1,8
84,4,1.0,1.0,0.1,185.0,85.0,0.09999999999999996,10.0,1,8
85,5,1.0,1.0,0.1,186.0,86.0,0.09999999999999996,10.0,1,8
86,6,1.0,1.0,0.1,187.0,87.0,0.09999999999999998,10.0,1,8
87,7,1.0,1.0,0.1,188.0,88.0,0.09999999999999999,10.0,1,8
88,8,1.0,1.0,0.1,189.0,89.0,0.09999999999999999,10.0,1,8
89,9,1.0,1.0,0.1,190.0,90.0,0.1,10.0,1,8
90,0,1.0,1.0,0.1,191.0,91.0,0.1,10.0,1,9
91,1,1.0,1.0,0.1,192.0,92.0,0.10000000000000002,10.0,1,9
92,2,1.0,1.0,0.1,193.0,93.0,0.10000000000000002,10.0,1,9
93,3,1.0,1.0,0.1,194.0,94.0,0.10000000000000003,10.0,1,9
94,4,1.0,1.0,0.1,195.0,95.0,0.10000000000000003,10.0,1,9
95,5,1.0,1.0,0.1,196.0,96.0,0.10000000000000005,10.0,1,9
96,6,1.0,1.0,0.1,197.0,97.0,0.10000000000000005,10.0,1,9
97,7,1.0,1.0,0.1,198.0,98.0,0.10000000000000006,10.0,1,9
98,8,1.0,1.0,0.1,199.0,99.0,0.10000000000000006,10.0,1,9
99,9,1.0,1.0,0.1,200.0,100.0,0.10000000000000007,10.0,1,9
